"","geneIDs","moduleColor"
"1","ABCB1","turquoise"
"3","ABCB9","turquoise"
"5","ACO2","turquoise"
"8","ACTR5","turquoise"
"11","AIG1","turquoise"
"14","ALAS1","turquoise"
"15","ALDOA","turquoise"
"16","ALMS1","turquoise"
"18","AMBRA1","turquoise"
"21","ANKRD44","turquoise"
"22","ANKRD45","turquoise"
"24","ANP32E","turquoise"
"26","AP3B2","turquoise"
"28","APOPT1","turquoise"
"29","ARFGAP2","turquoise"
"30","ARHGAP1","turquoise"
"35","ARNT","turquoise"
"36","ARPC3","turquoise"
"38","AS3MT","turquoise"
"39","ATF4","turquoise"
"40","ATG13","turquoise"
"41","ATP13A1","turquoise"
"43","ATP6V0B","turquoise"
"44","ATPAF2","turquoise"
"45","ATXN7","turquoise"
"47","B9D1","turquoise"
"49","BAG5","turquoise"
"50","BANK1","turquoise"
"55","BNIPL","turquoise"
"56","BOLL","turquoise"
"57","BRD8","turquoise"
"58","BTBD18","turquoise"
"60","C11orf31","turquoise"
"61","C11orf49","turquoise"
"62","C12orf65","turquoise"
"63","C12orf76","turquoise"
"64","C14orf2","turquoise"
"65","C16orf92","turquoise"
"74","CA8","turquoise"
"75","CACNA1C","turquoise"
"76","CACNA1D","turquoise"
"83","CCDC134","turquoise"
"85","CCDC62","turquoise"
"86","CDC20","turquoise"
"90","CDK2AP1","turquoise"
"92","CENPM","turquoise"
"93","CENPT","turquoise"
"94","CEP170","turquoise"
"101","CKAP5","turquoise"
"102","CKB","turquoise"
"104","CLDN23","turquoise"
"105","CLP1","turquoise"
"107","CNNM2","turquoise"
"108","CNOT1","turquoise"
"114","CSDC2","turquoise"
"117","CTRL","turquoise"
"119","CTSS","turquoise"
"121","CYP17A1","turquoise"
"122","DAAM1","turquoise"
"124","DDB2","turquoise"
"126","DDX28","turquoise"
"128","DFNA5","turquoise"
"131","DMTF1","turquoise"
"132","DNAH1","turquoise"
"133","DNAJB7","turquoise"
"136","DOPEY1","turquoise"
"137","DPEP2","turquoise"
"139","DPYD","turquoise"
"144","EDC4","turquoise"
"145","EFTUD1","turquoise"
"146","EGR4","turquoise"
"153","EP300","turquoise"
"158","ESAM","turquoise"
"161","F2","turquoise"
"162","FAM109B","turquoise"
"163","FAM154B","turquoise"
"164","FAM53C","turquoise"
"165","FAM57B","turquoise"
"168","FGFR1","turquoise"
"169","FHIT","turquoise"
"170","FOXP1","turquoise"
"171","FSD2","turquoise"
"176","GABPB2","turquoise"
"177","GATAD2A","turquoise"
"178","GDPD3","turquoise"
"179","GFRA3","turquoise"
"180","GIGYF2","turquoise"
"181","GIT2","turquoise"
"183","GLYCTK","turquoise"
"184","GMIP","turquoise"
"189","GPR135","turquoise"
"191","GRAP","turquoise"
"192","GRIA1","turquoise"
"195","HAPLN4","turquoise"
"199","HIRIP3","turquoise"
"207","HYI","turquoise"
"209","IGSF9B","turquoise"
"210","IL20RB","turquoise"
"213","INHBC","turquoise"
"217","IREB2","turquoise"
"220","ITIH4","turquoise"
"222","KAT5","turquoise"
"225","KDM3B","turquoise"
"226","KDM4A","turquoise"
"228","KIF20A","turquoise"
"230","KLC1","turquoise"
"231","KLHL20","turquoise"
"232","L3MBTL2","turquoise"
"233","LCAT","turquoise"
"234","LETM2","turquoise"
"237","LRP1","turquoise"
"238","LRP4","turquoise"
"239","LRRC48","turquoise"
"243","MADD","turquoise"
"245","MAPK3","turquoise"
"246","MAPK7","turquoise"
"247","MARK3","turquoise"
"248","MARS2","turquoise"
"249","MAU2","turquoise"
"252","ME1","turquoise"
"253","MED19","turquoise"
"254","MED8","turquoise"
"257","MFAP4","turquoise"
"258","MFHAS1","turquoise"
"259","MGAT3","turquoise"
"260","MKL1","turquoise"
"264","MPHOSPH9","turquoise"
"267","MPPED2","turquoise"
"270","MSL2","turquoise"
"271","MSRA","turquoise"
"275","NAB2","turquoise"
"277","NCAN","turquoise"
"278","NCK1","turquoise"
"281","NDUFA4L2","turquoise"
"283","NDUFAF2","turquoise"
"284","NEK1","turquoise"
"285","NEK4","turquoise"
"287","NGEF","turquoise"
"289","NISCH","turquoise"
"292","NME5","turquoise"
"294","NOSIP","turquoise"
"298","NSUN6","turquoise"
"299","NT5C2","turquoise"
"300","NT5DC2","turquoise"
"302","NUTF2","turquoise"
"303","NXPH4","turquoise"
"304","OGFOD2","turquoise"
"305","OPCML","turquoise"
"307","OTOL1","turquoise"
"308","OVOL1","turquoise"
"311","PBRM1","turquoise"
"314","PCNXL3","turquoise"
"315","PDCD11","turquoise"
"316","PDE4B","turquoise"
"317","PGM3","turquoise"
"318","PHF5A","turquoise"
"323","PLCL1","turquoise"
"324","PLCL2","turquoise"
"325","PLEKHO1","turquoise"
"326","PMM1","turquoise"
"327","PPAPDC1B","turquoise"
"328","PPM1M","turquoise"
"330","PPP1R13B","turquoise"
"334","PPP4C","turquoise"
"337","PRKD1","turquoise"
"339","PRMT7","turquoise"
"340","PRPF3","turquoise"
"341","PRSS35","turquoise"
"342","PSD3","turquoise"
"343","PSMA4","turquoise"
"344","PSMB10","turquoise"
"346","PTK2B","turquoise"
"348","PTPRF","turquoise"
"349","PTPRK","turquoise"
"350","R3HDM2","turquoise"
"351","RABGAP1L","turquoise"
"352","RAD9B","turquoise"
"353","RAI1","turquoise"
"354","RANGAP1","turquoise"
"356","RBM26","turquoise"
"358","RC3H1","turquoise"
"359","RDH16","turquoise"
"361","RELA","turquoise"
"362","RERE","turquoise"
"367","RIMS1","turquoise"
"368","RNF112","turquoise"
"369","RPRD2","turquoise"
"370","RPS19BP1","turquoise"
"371","RPTOR","turquoise"
"372","RRAS","turquoise"
"377","SBNO1","turquoise"
"378","SCAF1","turquoise"
"381","SEMA3G","turquoise"
"382","SEMA6C","turquoise"
"385","SERPINC1","turquoise"
"387","SETD6","turquoise"
"389","SETDB1","turquoise"
"390","SF3B1","turquoise"
"391","SFMBT1","turquoise"
"393","SHMT2","turquoise"
"394","SIPA1","turquoise"
"395","SLC12A4","turquoise"
"404","SLC7A6","turquoise"
"405","SLC7A6OS","turquoise"
"406","SMG6","turquoise"
"409","SNX19","turquoise"
"412","SPCS1","turquoise"
"414","SREBF2","turquoise"
"420","STAC3","turquoise"
"421","STAG1","turquoise"
"424","SUFU","turquoise"
"425","SUGP1","turquoise"
"426","SZT2","turquoise"
"428","TAF5","turquoise"
"429","TAOK2","turquoise"
"434","TCF20","turquoise"
"435","TCF4","turquoise"
"436","TCHP","turquoise"
"439","TEF","turquoise"
"440","THAP11","turquoise"
"441","THOC7","turquoise"
"443","TLR9","turquoise"
"444","TM6SF2","turquoise"
"446","TMEM110-MUSTN1","turquoise"
"447","TMEM161B","turquoise"
"449","TMEM194A","turquoise"
"450","TMEM219","turquoise"
"453","TNFRSF13C","turquoise"
"454","TNKS","turquoise"
"455","TNNC1","turquoise"
"456","TOB2","turquoise"
"457","TOM1L2","turquoise"
"459","TRANK1","turquoise"
"463","TSNARE1","turquoise"
"465","TWF2","turquoise"
"467","USMG5","turquoise"
"470","VPS45","turquoise"
"472","VSIG2","turquoise"
"473","WBP2NL","turquoise"
"474","WDR73","turquoise"
"475","WDR82","turquoise"
"476","WHAMM","turquoise"
"477","WHSC1L1","turquoise"
"479","XRCC3","turquoise"
"480","XRCC6","turquoise"
"481","YPEL3","turquoise"
"482","YPEL4","turquoise"
"484","ZC3H7B","turquoise"
"485","ZDHHC5","turquoise"
"488","ZNF19","turquoise"
"489","ZNF23","turquoise"
"490","ZNF281","turquoise"
"491","ZNF408","turquoise"
"492","ZNF440","turquoise"
"493","ZNF441","turquoise"
"494","ZNF491","turquoise"
"495","ZNF536","turquoise"
"496","ZNF592","turquoise"
"498","ZNF823","turquoise"
